from,to,year,type
BMG,AH,2022,1
DF,BMG,2022,1
DSC,MK,2022,1
UF,DSC,2022,1
TSG,SH,2022,1
AB,TSG,2022,1
SGF,SL,2022,1
MSN,SGF,2022,1
FCA,MW,2022,1
EM,FCA,2022,1
BSC,FM,2022,1
SS,BSC,2022,1
BVB,MR,2022,1
ET,BVB,2022,1
WOB,FKR,2022,1
NK,WOB,2022,1
BSC,SS,2023,1
PD,BSC,2023,1
VfB,BL,2023,1
SH,VfB,2023,1
FCB,JN,2023,1
TT,FCB,2023,1
TSG,AB,2023,1
PM,TSG,2023,1
VfB,MWI,2023,1
BL,VfB,2023,1
S04,MKR,2023,1
TR,S04,2023,1
S04,FK,2023,1
MKR,S04,2023,1
VfB,PM,2023,1
MWI,VfB,2023,1
B04,GS,2023,1
XA,B04,2023,1
BOC,HB,2023,1
TL,BOC,2023,1
BOC,TR,2023,1
HB,BOC,2023,1
RBL,DT,2023,1
MR,RBL,2023,1
